ticket_id,purchase_date,price,customer_id,scan_date,scanned_by,discount_id,source,referrer_id,discount_pct,event_id,event_start,event_end,brand_id,venue_id,city_id,flyer_url
16532,2023-04-27 06:32:57.376025+00,12,10500,2023-04-28 23:02:26.967128+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16893,2023-04-25 16:29:11.778561+00,12,10544,\N,\N,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16976,2023-04-28 20:47:49.56151+00,0,10660,\N,\N,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16533,2023-04-24 17:51:37.244639+00,10.8,10484,2023-04-28 22:58:35.557201+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16534,2023-04-28 23:42:13.665508+00,13.5,10501,2023-04-28 23:57:04.613469+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16535,2023-04-25 20:56:50.622897+00,12,10502,\N,\N,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16536,2023-04-24 08:58:04.728416+00,12,10461,2023-04-28 22:20:14.480726+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16537,2023-04-25 21:05:50.254185+00,0,10503,\N,\N,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16538,2023-04-25 21:05:50.296996+00,0,10503,\N,\N,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16539,2023-04-17 14:52:03.269018+00,10,10504,2023-04-28 22:33:35.982831+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16540,2023-04-25 21:01:41.866114+00,0,10505,2023-04-28 23:58:48.057282+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16541,2023-04-28 10:04:57.468601+00,12,10506,2023-04-28 22:32:00.982357+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16542,2023-04-08 16:24:24.625974+00,10,10181,2023-04-28 21:57:31.76958+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16543,2023-04-24 17:51:37.322961+00,10.8,10484,\N,\N,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16544,2023-04-26 19:42:29.79697+00,12,10507,2023-04-28 21:20:42.136148+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16545,2023-04-26 20:49:46.196554+00,12,10401,2023-04-28 21:21:09.462679+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16546,2023-04-28 12:23:34.326502+00,12,10508,\N,\N,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16547,2023-04-28 23:04:21.460051+00,15,10509,2023-04-28 23:25:23.16821+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16548,2023-04-27 08:23:22.513736+00,10.8,10510,2023-04-28 22:36:21.430683+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16549,2023-04-23 23:34:14.711444+00,10.8,10511,2023-04-28 23:22:56.149213+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
16550,2023-04-28 08:39:20.697092+00,10.8,10512,2023-04-28 23:10:01.624683+00,Alicia,\N,\N,\N,\N,74,2023-04-28 21:00:00+00,2023-04-29 03:00:00+00,bandido,13,Luxembourg,https://blueforest-static.s3.eu-central-1.amazonaws.com/bandido/events/encore/flyer.jpg
